,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price
83,389.05,33.15,1192.65,799.2,263.35,199.95,1256.35,496.5,377.75,1894.4,267.75,151.85,533.85,391.1,251.75,560.5,924.8,442.5,2165.75,32661.85,226.05,154.0,409.6,17.35,478.0,1230.25,58.7,907.65,504.6,582.0
84,390.0,31.85,1201.3,781.05,260.0,198.0,1254.95,499.3,372.8,1907.15,267.75,159.1,500.2,389.9,250.3,554.4,930.85,444.25,2217.35,32226.4,217.85,153.25,408.0,17.9,481.0,1223.35,58.75,885.9,497.35,574.95
85,403.1,32.15,1230.9,782.7,259.45,198.9,1246.05,519.75,402.85,1909.9,271.9,167.05,500.5,390.15,252.25,565.95,945.6,462.55,2253.35,32065.2,220.45,150.85,400.95,18.0,476.6,1214.2,61.4,894.4,498.2,576.8
86,405.15,31.45,1214.15,772.45,255.7,197.85,1245.5,516.15,389.6,1902.75,264.45,175.4,497.25,387.75,246.4,561.4,938.55,465.05,2211.2,32007.95,217.9,151.7,399.85,17.9,498.45,1212.4,62.1,880.3,498.4,566.0
87,404.7,31.6,1210.9,775.25,261.55,198.5,1255.95,524.55,401.6,1911.65,268.05,184.15,497.95,387.75,244.75,570.7,943.7,472.95,2242.05,32766.1,224.45,149.95,400.25,18.15,506.95,1237.95,62.3,885.75,497.8,558.55
88,406.9,31.7,1197.6,779.9,258.5,193.1,1253.3,520.75,389.3,1911.8,266.45,193.35,506.9,384.35,247.9,573.4,933.4,473.45,2241.55,32403.95,225.7,150.85,420.85,18.05,519.25,1225.9,62.1,882.75,497.65,555.8
89,409.7,32.35,1204.5,780.0,262.25,196.05,1237.3,519.45,382.85,1904.9,264.45,202.8,494.3,383.0,249.05,569.7,926.95,464.3,2314.7,32443.5,222.1,153.55,417.3,17.85,527.65,1235.95,62.5,870.05,580.5,547.95
90,410.2,32.35,1256.6,774.05,257.4,194.5,1229.1,512.55,376.6,1919.5,261.15,212.9,496.15,382.8,247.4,591.9,917.75,462.5,2486.55,31824.3,217.6,153.55,407.75,17.5,551.45,1228.05,61.55,861.85,615.5,537.95
91,401.2,30.45,1208.5,768.85,251.35,192.15,1213.25,505.3,373.35,1863.15,252.8,203.15,492.0,380.3,247.15,585.35,894.45,464.2,2457.75,31579.6,209.45,152.05,398.55,16.75,553.7,1184.8,60.05,825.35,554.85,509.15
92,388.65,30.7,1189.65,737.9,249.8,187.05,1196.95,501.7,357.75,1796.0,247.05,193.0,487.15,375.55,239.75,577.2,895.9,465.05,2417.25,30979.85,208.4,150.05,398.15,16.45,540.7,1165.2,59.85,798.05,527.5,497.45
